video_id,title,publishedAt,duration,viewCount,likeCount,commentCount
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,PT34S,37270830,1135752,4676
F0OkwXKcPSE,Hi Me In 10 Years,2025-10-04T16:00:07Z,PT3M14S,34203109,2805410,92791
686PL7rt654,World’s Fastest Dinner Date,2025-10-03T16:00:03Z,PT34S,147617722,2499489,7155
zo7i8VTpfNM,"Would You Risk Dying For $500,000?",2025-09-27T16:00:04Z,PT25M26S,77000265,1905371,27257
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2025-09-26T18:00:07Z,PT42S,60924662,1903629,6511
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,2025-09-23T16:00:07Z,PT40S,204834978,4550846,15567
9Xeepzg1B8I,Which Celebrity Punches The Hardest?,2025-09-19T16:00:03Z,PT47S,100216938,2495863,7637
50G0kIty7Cg,"Answer The Call, Win $10,000",2025-09-16T17:00:04Z,PT39S,156424876,4168955,11071
4l97aNza_Zc,"Survive 30 Days Chained To Your Ex, Win $250,000",2025-09-13T16:00:01Z,PT37M4S,135807673,3204556,50583
3ih2bPKSWsQ,I Arrested IShowSpeed,2025-09-12T17:00:01Z,PT35S,54227978,1813046,5321
uA9Zcg3vHvo,I Raced IShowSpeed,2025-09-01T20:45:41Z,PT47S,319417732,6620050,8176
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",2025-08-30T16:00:11Z,PT17M18S,112193322,2556372,34252
MOGW3v3pJ5Y,1 Subscriber = 1 Penny Donated,2025-08-29T16:00:10Z,PT18S,546340153,22334657,27449
XNtTO_339kU,"Pick The Wrong Tube, Get Slimed",2025-08-27T16:00:02Z,PT36S,91846977,2140334,6936
rB9NynBZ4go,Reaction Time Challenge,2025-08-19T16:00:02Z,PT29S,102220148,1709122,10986
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16T19:00:02Z,PT39M36S,116614234,2837666,39740
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,PT15S,75469022,1948993,12153
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,PT17S,60845653,2208511,10223
qXW93Cois2s,Guess What Hit You,2025-08-05T16:00:01Z,PT32S,62082928,1122016,5396
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02T16:00:02Z,PT32S,114624892,3568944,14724
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01T16:00:01Z,PT10M20S,75133544,2299001,43364
zxuICI0kL3s,"Don’t Turn Around, Win $10k",2025-07-31T16:00:01Z,PT31S,296350374,5772146,7604
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29T16:00:01Z,PT19S,83799993,2597316,10074
lQz5aqjZ3lQ,"Find This Briefcase, Win $10,000",2025-07-25T16:00:02Z,PT1M7S,173204305,4783220,13455
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20T16:00:01Z,PT24S,123473886,2007821,6188
pzBi1nwDn8U,"Survive 100 Days Trapped In A Private Jet, Keep It",2025-07-19T16:00:01Z,PT33M3S,132243956,3380328,45832
R7oW0LwS_e4,I Met Neymar,2025-07-11T16:15:07Z,PT10S,94293331,1628134,14719
BfKI_TQnQvo,I Raced A Cheetah,2025-07-06T16:00:01Z,PT20S,121859349,2906110,12953
FWAdfuPpLOc,World's Fastest Car Vs Cheetah!,2025-07-05T16:00:01Z,PT20M37S,174154355,3278145,44818
NjlP2_l1Wr0,"You Lose, You Get Shot",2025-06-30T16:00:08Z,PT36S,94567653,1592888,6385
gGcaGdHlt60,"If You Spill, You Lose!",2025-06-25T17:00:08Z,PT19S,370350572,3458008,7183
pe_ejTiIcSs,"Lose 100 LBs, Win $250,000!",2025-06-21T16:00:01Z,PT36M50S,202177954,6367058,104006
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,PT23S,85999307,2191281,12088
ZGvn9ywXjpY,Feastables vs Reese’s Taste Test with @gordonramsay,2025-06-10T16:00:02Z,PT33S,277178872,5395811,12746
hTSaweR8qMI,"$1 vs $500,000 Date",2025-06-07T16:00:00Z,PT17M22S,142467628,3327741,59566
KCRLP-zBacU,Can I Teach a Penguin To Subscribe?,2025-05-31T16:10:27Z,PT9S,253971485,6267742,17151
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28T16:00:19Z,PT32S,173534581,3284023,6840
DZIASl9q90s,"Beat Neymar, Win $500,000",2025-05-24T16:00:01Z,PT27M53S,153761668,3508568,80695
7qY-qalCI2Y,"Grab The Rolex, Keep It!",2025-05-21T15:59:50Z,PT23S,188213597,2886667,8817
N0pwLtonPdg,Slippery vs Sticky Stairs,2025-05-16T16:00:01Z,PT36S,697732188,7735306,22977
-4GmbBoYQjE,I Survived 100 Hours In An Ancient Temple,2025-05-10T16:00:01Z,PT15M46S,117567650,2898660,77562
0yPgljFcTR4,"Subscribe to Win $50,000",2025-05-07T16:00:01Z,PT15S,72925590,4033644,144190
TN1wErFGTzM,"Find This Key, Win $10,000",2025-05-05T16:00:00Z,PT39S,48913109,1514990,6458
3dxksf0CzS8,World’s Fastest Robbers,2025-05-02T16:00:00Z,PT32S,230372156,5149337,12483
x7yv72s8h0o,Would You Go On Vacation With A Stranger?,2025-04-29T16:00:00Z,PT1M3S,243077991,7640339,22197
uyiG6uw-6pA,"Would You Risk Drowning for $500,000?",2025-04-26T16:00:00Z,PT25M46S,188785189,3143619,43047
M1STzb7k9L8,Extreme Helmet Game,2025-04-25T16:15:00Z,PT23S,203873486,2218156,5058
7K-yxGWYsnk,"$10,000 Human Shuffleboard",2025-04-22T16:30:14Z,PT40S,478949528,5866499,4709
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,PT20S,465770055,6285224,10237
figrl0aOULs,Click This Video To Feed 1 Person,2025-04-12T16:00:01Z,PT10M29S,72806358,4221643,73626
Uxc84UUrVHk,You Can Stop Child Labor,2025-04-11T16:00:01Z,PT58S,88340571,3545367,20654
BzKaMelDzqo,How Fast Can I Go?,2025-04-05T16:00:12Z,PT18S,170260690,2744688,8412
4yx9ZJDfyKk,Baseball Tic Tac Toe vs MLB Pro,2025-03-27T16:00:00Z,PT27S,65141359,1532528,7475
kPa_S6jN9ls,Could You Win This Obstacle Course?,2025-03-25T16:15:01Z,PT34S,90040168,1706752,10141
69g-YcbmgQA,"Find Your Dog, Win $10,000",2025-03-23T16:00:01Z,PT36S,445200703,11102246,9788
aKq8bkY5eTU,I Survived The 5 Deadliest Places On Earth,2025-03-22T16:00:00Z,PT13M23S,156526868,3143077,54480
TNtpUQbW4mg,This Is How The Pyramids Were Built,2025-03-18T16:00:00Z,PT13S,303739441,7901768,18909
TgCm8oDmxOk,I Crashed One Of The Most Expensive Cars In The World,2025-03-14T16:00:00Z,PT16S,98721067,2419267,6780
954wJ3uHVAk,Last One To Fall Wins,2025-03-08T18:05:23Z,PT30S,131791048,3878020,8124
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",2025-03-01T17:00:01Z,PT38M38S,190182618,3053042,83428
PXevNM0awlI,"Highest Away From Me Wins $10,000",2025-02-28T17:00:00Z,PT50S,494390010,10961699,11157
PuQ5UxKUY48,"Find The Human, Win $10,000",2025-02-24T17:00:02Z,PT41S,306304369,7088774,8165
L5ihmu87xTE,"Find This Stranger, Win $10,000",2025-02-19T18:00:00Z,PT1M1S,588292237,15704497,11716
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,PT25S,469261329,7488975,9005
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,PT21M43S,218543967,5326876,100798
sF5LYGgKbUA,Every Minute One Person Is Eliminated,2025-01-25T17:00:01Z,PT34M46S,141820970,3012599,73899
MFpWEKN9c6Y,"Last Person Hanging Wins $10,000",2025-01-21T17:00:03Z,PT43S,520855454,12485859,14097
TRxMLLuWIhw,Subscribe For An iPhone,2025-01-17T17:00:00Z,PT17S,282703075,28155574,199086
SM66GDRyIVY,"I Helped 2,000 People Walk Again",2025-01-11T17:00:02Z,PT15M31S,122491747,2949513,54740
EvqtfK_RaRg,This obstacle course is WILD,2025-01-10T17:00:00Z,PT32S,202989181,3839576,5342
3cWm9B_0_kI,How Many People To Stop Ronaldo?,2024-12-27T19:00:00Z,PT21S,495791213,11563937,26284
qtWqHIx8Z-o,"Last Person Standing Wins $10,000",2024-12-22T17:00:01Z,PT48S,612506742,12959553,9569
gs8qfL9PNac,"2,000 People Fight For $5,000,000",2024-12-19T17:00:00Z,PT24M45S,183820190,4567682,50396
DBPYB8WkkDc,Bring Me Back Snow From The North Pole,2024-12-10T17:00:00Z,PT55S,630392885,17768370,14157
zvBXpoBegwE,I Got T-Series To Subscribe To Me,2024-12-09T17:00:01Z,PT31S,181462721,7925735,14217
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,PT15S,322081124,9100434,33977
0BjlBnfHcHM,"Beat Ronaldo, Win $1,000,000",2024-11-30T17:00:00Z,PT22M45S,327037901,8086723,117710
HcL1EQ5qD_g,Confronting Ronaldo,2024-11-29T17:30:10Z,PT21S,221520959,12218506,26538
dc089EZRGcg,How Many Balloons To Make A Store Fly?,2024-11-18T19:00:00Z,PT22S,457097068,10413286,11707
vXNtju4VFm4,Restocking MrBeast Labs at Walmart,2024-11-18T17:00:00Z,PT36S,331933714,5651456,3234
I9mw5UlDyPI,This Game Is Wild...,2024-11-12T17:00:00Z,PT19S,653439948,13252481,8572
pS-fFdvyHLE,How Much Tape To Stop A Lamborghini?,2024-11-08T17:00:00Z,PT15S,728382592,13838206,19776
