video_id,title,publishedAt,duration,hours,minutes,seconds,total_seconds
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,PT34S,0,0,34,34
F0OkwXKcPSE,Hi Me In 10 Years,2025-10-04T16:00:07Z,PT3M14S,0,3,14,194
686PL7rt654,World’s Fastest Dinner Date,2025-10-03T16:00:03Z,PT34S,0,0,34,34
zo7i8VTpfNM,"Would You Risk Dying For $500,000?",2025-09-27T16:00:04Z,PT25M26S,0,25,26,1526
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2025-09-26T18:00:07Z,PT42S,0,0,42,42
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,2025-09-23T16:00:07Z,PT40S,0,0,40,40
9Xeepzg1B8I,Which Celebrity Punches The Hardest?,2025-09-19T16:00:03Z,PT47S,0,0,47,47
50G0kIty7Cg,"Answer The Call, Win $10,000",2025-09-16T17:00:04Z,PT39S,0,0,39,39
4l97aNza_Zc,"Survive 30 Days Chained To Your Ex, Win $250,000",2025-09-13T16:00:01Z,PT37M4S,0,37,4,2224
3ih2bPKSWsQ,I Arrested IShowSpeed,2025-09-12T17:00:01Z,PT35S,0,0,35,35
uA9Zcg3vHvo,I Raced IShowSpeed,2025-09-01T20:45:41Z,PT47S,0,0,47,47
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",2025-08-30T16:00:11Z,PT17M18S,0,17,18,1038
MOGW3v3pJ5Y,1 Subscriber = 1 Penny Donated,2025-08-29T16:00:10Z,PT18S,0,0,18,18
XNtTO_339kU,"Pick The Wrong Tube, Get Slimed",2025-08-27T16:00:02Z,PT36S,0,0,36,36
rB9NynBZ4go,Reaction Time Challenge,2025-08-19T16:00:02Z,PT29S,0,0,29,29
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16T19:00:02Z,PT39M36S,0,39,36,2376
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,PT15S,0,0,15,15
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,PT17S,0,0,17,17
qXW93Cois2s,Guess What Hit You,2025-08-05T16:00:01Z,PT32S,0,0,32,32
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02T16:00:02Z,PT32S,0,0,32,32
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01T16:00:01Z,PT10M20S,0,10,20,620
zxuICI0kL3s,"Don’t Turn Around, Win $10k",2025-07-31T16:00:01Z,PT31S,0,0,31,31
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29T16:00:01Z,PT19S,0,0,19,19
lQz5aqjZ3lQ,"Find This Briefcase, Win $10,000",2025-07-25T16:00:02Z,PT1M7S,0,1,7,67
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20T16:00:01Z,PT24S,0,0,24,24
